#,X3,d,X4,Lambda_2_N,n,N,Lambda_2_N,n,N
1,130,4.5,115,15,3,5,8.5,1,1
2,120,4,105,15,5,,9,1,1
3,110,4,95,13.5,5,,8.5,1,1
4,100,3,85,12,5,,8,1,1
